"place","pop1980","pop2000","pop2010","pop2023","pop2024","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","unMember","netChange","growthRate","worldPercentage","density","densityMi","rank","cca2Disp","countryDisp","pop2024Disp","pop2023Disp","areaDisp","landAreaKmDisp","densityDisp","growthRateDisp","worldPercentageDisp","rankDisp","unMemberDisp"
60,53565,61371,63447,64069,63935,62806,56041,"Bermuda",54,54,"BM","BMU",false,0,-0.0021,0,1183.9815,3066.512,206,[object Object],[object Object],[object Object],"64,069","54","54","1,184",[object Object],[object Object],206,[object Object]
831,52860,59114,60782,63544,63788,65141.00000000001,66496,"Guernsey",78,63,"GG","GGY",false,0,0.0038,0,1012.5079,2622.3956,207,[object Object],[object Object],[object Object],"63,544","78","63","1,013",[object Object],[object Object],207,[object Object]
304,50106,56184,56351,56643,56789,57152,53997,"Greenland",2166086,410450,"GL","GRL",false,0,0.0026,0,0.1384,0.3583,208,[object Object],[object Object],[object Object],"56,643","2.2M","410.4K","0.14",[object Object],[object Object],208,[object Object]
234,43054,45660,48410,53270,53444,54583,59444,"Faroe Islands",1393,1366,"FO","FRO",false,0,0.0033,0,39.1245,101.3323,209,[object Object],[object Object],[object Object],"53,270","1.4K","1.4K","39",[object Object],[object Object],209,[object Object]
580,17613,80338,54087,49796,50025,51178,50050,"Northern Mariana Islands",464,460,"MP","MNP",false,0,0.0046,0,108.75,281.6625,210,[object Object],[object Object],[object Object],"49,796","464","460","109",[object Object],[object Object],210,[object Object]
659,43097,45461,47403,47755,47847,48247,46882,"Saint Kitts and Nevis",261,260,"KN","KNA",true,0,0.0019,0,184.0269,476.6297,211,[object Object],[object Object],[object Object],"47,755","261","260","184",[object Object],[object Object],211,[object Object]
796,7598,18744,29726,46062,46431,48538,52865,"Turks and Caicos Islands",948,948,"TC","TCA",false,0,0.008,0,48.9778,126.8526,212,[object Object],[object Object],[object Object],"46,062","948","948","49",[object Object],[object Object],212,[object Object]
534,12243,30489,33034,44222,44309,44946,38947,"Sint Maarten",34,34,"SX","SXM",false,0,0.002,0,1303.2059,3375.3032,213,[object Object],[object Object],[object Object],"44,222","34","34","1,303",[object Object],[object Object],213,[object Object]
16,32886,58230,54849,43914,43544,41142,33557,"American Samoa",199,200,"AS","ASM",false,0,-0.0084,0,217.72,563.8948,214,[object Object],[object Object],[object Object],"43,914","199","200","218",[object Object],[object Object],214,[object Object]
584,31988,54224,53416,41996,42415,44733,51211,"Marshall Islands",181,180,"MH","MHL",true,0,0.01,0,235.6389,610.3047,215,[object Object],[object Object],[object Object],"41,996","181","180","236",[object Object],[object Object],215,[object Object]
438,25003,33026,35926,39584,39822,41030,42287,"Liechtenstein",160,160,"LI","LIE",true,0,0.006,0,248.8875,644.6186,216,[object Object],[object Object],[object Object],"39,584","160","160","249",[object Object],[object Object],216,[object Object]
492,27076,32465.000000000004,33178,36297,36157,35862,37664,"Monaco",2.02,2,"MC","MCO",true,0,-0.0039,0,18078.5,46823.315,217,[object Object],[object Object],[object Object],"36,297","2","2","18,079",[object Object],[object Object],217,[object Object]
674,21346,26823,31608,33642,33614,33458,32043.999999999996,"San Marino",61,60,"SM","SMR",true,,-0.0008,0,560.2333,1451.0043,218,[object Object],[object Object],[object Object],"33,642","61","60","560",[object Object],[object Object],218,[object Object]
292,28734,27741,31262,32688.000000000004,32718.000000000004,32771,31356,"Gibraltar",6.8,6.8,"GI","GIB",false,,0.0009,0,4811.4706,12461.7088,219,[object Object],[object Object],[object Object],"32,688","7","7","4,811",[object Object],[object Object],219,[object Object]
